DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Sep1993,-0.29322,-0.97385,-1.17879,-1.06833,-0.93853,-1.28014,-1.42674,-1.16462,-0.78367,-0.68068,-0.63197,-0.37988,-0.31964,-0.07089,0.00448,0.14785,-0.03495,0.08559,-0.20739,-0.3087,-0.43788,-0.49549,-0.54562,-0.48067,-0.62008,-0.47577,-0.35732,-0.23764,-0.28379,-0.53528,-0.38183,-0.47605,-0.37545,-0.38737,-0.40605,-0.47423,-0.55281,-0.59155,-0.62431,-0.79784,-0.84481,-0.65218,-0.53366,-0.28988,-0.28481,-0.06179,-0.08942,-0.00243
Oct1993,-1.24072,-1.02464,-1.34654,-1.40801,-1.29906,-1.2102,-1.47665,-1.56989,-1.34183,-1.0041,-0.90797,-0.84387,-0.60997,-0.55741,-0.32463,-0.24184,-0.10054,-0.27255,-0.14166,-0.42123,-0.51284,-0.62587,-0.67513,-0.70941,-0.64703,-0.7807,-0.65323,-0.53296,-0.41831,-0.46927,-0.70539,-0.54326,-0.63242,-0.53178,-0.54487,-0.55883,-0.62153,-0.69492,-0.73649,-0.76028,-0.92272,-0.96669,-0.78575,-0.6694,-0.44124,-0.43648,-0.22162,-0.23796
Nov1993,-0.27131,-0.96384,-0.99699,-1.4117,-1.50245,-1.37887,-1.28255,-1.50692,-1.58904,-1.34511,-1.04107,-0.99723,-0.95225,-0.75623,-0.70538,-0.50134,-0.41432,-0.28549,-0.43972,-0.30829,-0.55101,-0.63843,-0.74702,-0.78432,-0.80675,-0.7473,-0.87056,-0.75607,-0.64654,-0.54174,-0.59149,-0.81134,-0.65874,-0.74336,-0.65112,-0.67091,-0.68314,-0.73966,-0.81056,-0.85359,-0.86988,-1.02124,-1.06439,-0.9,-0.78448,-0.56871,-0.56575,-0.35933
Dec1993,-0.47266,-0.56523,-0.995,-1.0355,-1.40419,-1.5203,-1.4433,-1.35858,-1.55847,-1.63424,-1.38698,-1.08687,-1.05764,-1.02155,-0.83878,-0.7829,-0.59064,-0.50657,-0.39009,-0.53164,-0.41479,-0.62983,-0.71516,-0.80681,-0.83208,-0.84987,-0.7923,-0.90933,-0.80639,-0.70625,-0.60947,-0.65732,-0.86152,-0.7162,-0.79461,-0.70355,-0.71932,-0.72988,-0.7847,-0.85274,-0.8948,-0.91118,-1.05592,-1.09918,-0.94229,-0.82932,-0.62401,-0.62166
Jan1994,-0.82637,-0.91528,-0.8659,-1.14173,-1.17867,-1.50135,-1.60933,-1.54601,-1.45173,-1.6901,-1.74155,-1.48056,-1.18224,-1.15149,-1.10178,-0.92758,-0.87672,-0.68985,-0.59487,-0.48054,-0.61374,-0.50309,-0.70454,-0.78294,-0.86976,-0.90017,-0.91813,-0.86345,-0.97535,-0.88091,-0.77945,-0.68569,-0.73121,-0.92503,-0.78001,-0.8536,-0.7626,-0.77895,-0.78566,-0.83824,-0.90787,-0.94941,-0.96303,-1.10317,-1.14654,-0.99259,-0.88387,-0.68704
Feb1994,-0.2662,-0.76467,-0.90905,-0.87057,-1.11077,-1.153,-1.47657,-1.60248,-1.54096,-1.44551,-1.68951,-1.76938,-1.50709,-1.19892,-1.1719,-1.13437,-0.9663,-0.91871,-0.7389,-0.64243,-0.53279,-0.66261,-0.55675,-0.74554,-0.82392,-0.9067,-0.93519,-0.9557,-0.90654,-1.01317,-0.92651,-0.83452,-0.74731,-0.79484,-0.97754,-0.84281,-0.91205,-0.82482,-0.84262,-0.8504,-0.90117,-0.96347,-0.99876,-1.00944,-1.14301,-1.18347,-1.03493,-0.92741
Mar1994,0.6663,0.25725,-0.12918,-0.43634,-0.4977,-0.76109,-0.83038,-1.21378,-1.38924,-1.35528,-1.25279,-1.59075,-1.71814,-1.41841,-1.0621,-1.03834,-0.99681,-0.81814,-0.77225,-0.58432,-0.49469,-0.38454,-0.51968,-0.42042,-0.62574,-0.70573,-0.80158,-0.83333,-0.85983,-0.81375,-0.92028,-0.82639,-0.73399,-0.64277,-0.68324,-0.87469,-0.74741,-0.81704,-0.73307,-0.74975,-0.75376,-0.80494,-0.86931,-0.90072,-0.91658,-1.05315,-1.09889,-0.94924
Apr1994,0.43714,0.59798,0.37909,0.03203,-0.18124,-0.28573,-0.5347,-0.61428,-1.01401,-1.21787,-1.21095,-1.10566,-1.47149,-1.64711,-1.33868,-0.95641,-0.92588,-0.89519,-0.70974,-0.65784,-0.46527,-0.38352,-0.27464,-0.41782,-0.32076,-0.53388,-0.61721,-0.72438,-0.74697,-0.77286,-0.72552,-0.83823,-0.74468,-0.65636,-0.56404,-0.59481,-0.79351,-0.66682,-0.73448,-0.64978,-0.66473,-0.66962,-0.72034,-0.78556,-0.81465,-0.833,-0.97607,-1.02596
May1994,1.54877,1.16677,1.24262,1.01904,0.69974,0.46333,0.25917,0.01842,-0.05035,-0.39277,-0.64327,-0.64155,-0.56211,-0.93931,-1.18327,-0.88345,-0.54218,-0.54625,-0.54765,-0.37019,-0.31318,-0.11703,-0.05667,0.04666,-0.10015,-0.02288,-0.24982,-0.33363,-0.45231,-0.47145,-0.51089,-0.46206,-0.58261,-0.47618,-0.39765,-0.30269,-0.32547,-0.54045,-0.424,-0.49159,-0.40769,-0.42001,-0.4309,-0.485,-0.55627,-0.57989,-0.61054,-0.75758
Jun1994,0.6336,1.60324,1.27421,1.39949,1.13756,0.81006,0.54687,0.34823,0.13028,0.06822,-0.25984,-0.52217,-0.51913,-0.44102,-0.82985,-1.07827,-0.79277,-0.45621,-0.46741,-0.4731,-0.30023,-0.24106,-0.0509,0.00335,0.10816,-0.03471,0.03795,-0.19301,-0.27733,-0.3978,-0.41913,-0.46614,-0.41889,-0.54013,-0.4342,-0.35594,-0.26096,-0.28039,-0.49688,-0.38381,-0.4511,-0.36737,-0.37903,-0.39145,-0.44636,-0.51849,-0.54018,-0.56946
